time_step,mean_alpha,mean_contamination,mean_cost
0,0.6524450726514569,0.5942453225845453,3891.734020990323
1,0.658074067788961,0.5786600491876465,3915.5379350425515
2,0.6808928290478444,0.5600222377873532,3955.674056370285
3,0.6973511561991833,0.5483194934924696,3961.297959230004
4,0.6724882496781135,0.5621166548963573,3960.0124370181775
5,0.6722185971058054,0.561683082685503,3967.1825151140893
6,0.5781452396068051,0.6223306350735169,3889.7110245341446
7,0.5359289296247389,0.6498597753816326,3875.7000440857787
8,0.5279342959786368,0.6568388373512084,3870.0365874096606
9,0.5089997143643674,0.6701397049137845,3876.4693800778336
10,0.5181461729192529,0.6637454930332549,3893.2335428468364
11,0.5055579018607811,0.6732821522900015,3871.966084679761
12,0.5121545987674696,0.6685537581110542,3873.762030597024
13,0.5221911323579621,0.6607070959938806,3887.418899965232
14,0.5091523349693645,0.6699145148005051,3882.5442345794722
15,0.5069714909703918,0.6710280737465808,3889.233305247155
16,0.5068599472718396,0.6715839454798781,3888.530787583056
17,0.5261790497492044,0.6586814935927563,3882.0391847937162
18,0.5001262046917776,0.6760139663759235,3870.746291910011
19,0.5126409658383849,0.6673518940283241,3870.353729493274
20,0.5623152859660846,0.6346978676120437,3924.355464765368
21,0.5249742200487953,0.6583545774690093,3871.6902131692277
22,0.5373535715498021,0.6505440945578185,3917.9991769239887
23,0.5303922381096504,0.6558598532489472,3873.6667134529916
24,0.5507192843291382,0.6427838580059201,3914.083287052154
25,0.5390618434536197,0.6492489576668885,3884.0073945951754
26,0.49920807803085215,0.6759036265308397,3856.1752227425122
27,0.501998705709713,0.6751106404357533,3865.0828081145432
28,0.5198164704987623,0.6624313520838493,3870.8680560161274
29,0.5398331556862278,0.6497736952435221,3889.5784831698816
30,0.548633960237878,0.6443798955180767,3920.5846114691153
31,0.5541491808953434,0.6400640353814042,3892.615822414604
32,0.5336909321994071,0.6552840001122664,3896.2120600803405
33,0.5327348635037987,0.6545537155530051,3876.6891910552863
34,0.5171269129936978,0.6636166271379969,3876.4405169203687
35,0.5203309398999174,0.6628457041036981,3890.076925792757
36,0.49060269266589324,0.6824605138360985,3872.7880319481114
37,0.4884418884594176,0.6845029520901806,3862.585881053036
38,0.5210304557083433,0.661575370638866,3894.7341632825596
39,0.5317310051649327,0.6552357348850406,3886.7477776731553
40,0.502187102265917,0.674298632189005,3883.375244399342
41,0.4883737316985159,0.6829533821522638,3856.439232878984
42,0.4872501355850361,0.6841869515286811,3860.791254868652
43,0.48880113674669595,0.6833467909351296,3841.1074042232894
44,0.4915934550772307,0.6827657719148189,3853.4512341396767
45,0.5262497158403536,0.6589838352529511,3873.7744817962807
46,0.5160517951608274,0.6655105292369647,3878.4626116425743
47,0.5123634095819273,0.667999328674098,3848.583570625838
48,0.4949876725945365,0.6793574075945823,3852.7741712706675
49,0.515600050991472,0.6653596117356925,3874.195118187659
