time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
11,risk_averse,0.9499999999999998,0.42528319108227414,5880.0204868164465,0.8999999999999998
11,risk_loving,0.2104507659469918,0.8381565416359664,3128.6683211504906,0.9
12,risk_neutral,0.9420760008144253,0.4283508510033049,4164.242320803451,0.8999999999999998
12,risk_averse,0.9499999999999998,0.42528319108227414,5905.058131174627,0.8999999999999998
12,risk_loving,0.22289899767430763,0.8297115828232307,3099.8365670023486,0.9
13,risk_neutral,0.9437070500528529,0.427711942209512,4180.5461184511405,0.8999999999999998
13,risk_averse,0.9499999999999998,0.42528319108227414,5899.6580972142565,0.8999999999999998
13,risk_loving,0.23908287057898572,0.8168467822258717,3118.9634280535884,0.8999287009415782
14,risk_neutral,0.9395388927628213,0.42934054298021646,4152.174183773148,0.8999999999999998
14,risk_averse,0.9499999999999998,0.42528319108227414,5887.889756486089,0.8999999999999998
14,risk_loving,0.21874092736133377,0.8316496133133451,3124.2190775460417,0.899754726806864
15,risk_neutral,0.9386175546595966,0.42970803693807563,4161.189194240917,0.8999999999999998
15,risk_averse,0.9499999999999998,0.42528319108227414,5952.581282970609,0.8999999999999998
15,risk_loving,0.21541330006412096,0.8333830469041849,3110.798683008083,0.9
16,risk_neutral,0.9367070649286783,0.4304638936886235,4150.840863112673,0.8999999999999998
16,risk_averse,0.9499999999999998,0.42528319108227414,5993.488988437732,0.8999999999999998
16,risk_loving,0.21586422381017334,0.8340575475428307,3099.441362121623,0.9
17,risk_neutral,0.9335850945993762,0.431677480648731,4115.40798997954,0.8999999999999998
17,risk_averse,0.9499999999999998,0.42528319108227414,5910.7124226527485,0.8999999999999998
17,risk_loving,0.24910338471554866,0.8121489320775924,3128.0251704454317,0.8998816624855308
18,risk_neutral,0.9469999891489802,0.4264413861997734,4177.569972399283,0.8999999999999998
18,risk_averse,0.9499999999999998,0.42528319108227414,5915.552315881379,0.8999999999999998
18,risk_loving,0.2012103447699692,0.8427817515325234,3086.8697237564643,0.9
19,risk_neutral,0.9363265840987467,0.43059122577028813,4157.3303128715,0.8999999999999998
19,risk_averse,0.9499999999999998,0.42528319108227414,5872.621965287852,0.8999999999999998
19,risk_loving,0.22562608169772616,0.826961684429686,3107.272123102339,0.9
20,risk_neutral,0.93857256506843,0.4297524599437409,4136.613460613165,0.8999999999999998
20,risk_averse,0.9499999999999998,0.42528319108227414,5942.138307087855,0.8999999999999998
20,risk_loving,0.30766795492066445,0.772817895678068,3181.008518708607,0.8999695329080446
21,risk_neutral,0.9455020613988558,0.4270326826558648,4125.100540846688,0.8999999999999998
21,risk_averse,0.9499999999999998,0.42528319108227414,5879.685159469215,0.8999999999999998
21,risk_loving,0.24312301294837357,0.8131523378689692,3117.8884551767474,0.9
22,risk_neutral,0.9391723649041823,0.42950977144389013,4204.454665206734,0.8999999999999998
22,risk_averse,0.9499999999999998,0.42528319108227414,5954.556539005835,0.8999999999999998
22,risk_loving,0.2658651642816095,0.799309170087643,3143.6615601357908,0.8999367534573314
23,risk_neutral,0.942332391652314,0.4282722587993527,4159.376068226875,0.8999999999999998
23,risk_averse,0.9499999999999998,0.42528319108227414,5842.210570249588,0.8999999999999998
23,risk_loving,0.2532095996319794,0.8085812721210365,3122.2489762628325,0.9
24,risk_neutral,0.9402348735974757,0.42906386702631416,4176.802404418952,0.8999999999999998
24,risk_averse,0.9499999999999998,0.42528319108227414,5923.466418061441,0.8999999999999998
24,risk_loving,0.28778718268273856,0.7865240773070042,3156.715870926792,0.9
25,risk_neutral,0.9395018804352571,0.4293533807618656,4172.445804648186,0.8999999999999998
25,risk_averse,0.9499999999999998,0.42528319108227414,5847.615437268208,0.8999999999999998
25,risk_loving,0.2686024456109472,0.7972027388301011,3133.3252436864936,0.9
26,risk_neutral,0.9451664305547365,0.4271507745055782,4136.935558905673,0.8999999999999998
26,risk_averse,0.9499999999999998,0.42528319108227414,5899.128614798623,0.8999999999999998
26,risk_loving,0.2002913198665082,0.8423613890221159,3081.6039800027543,0.8999817718222649
27,risk_neutral,0.943476378589575,0.4278104236849479,4167.087350011289,0.8999999999999998
27,risk_averse,0.9499999999999998,0.42528319108227414,5858.363154491466,0.8999999999999998
27,risk_loving,0.2055057166529967,0.8408198624705151,3099.987845356653,0.899597259337654
28,risk_neutral,0.9403156064392982,0.42904043262062963,4105.719073724211,0.8999999999999998
28,risk_averse,0.9499999999999998,0.42528319108227414,5897.9571711531835,0.8999999999999998
28,risk_loving,0.2362555820181712,0.8192777122387811,3116.8880117344147,0.9
29,risk_neutral,0.9364113716603366,0.43056943157880534,4111.65099581941,0.8999999999999998
29,risk_averse,0.9499999999999998,0.42528319108227414,5918.444016134219,0.8999999999999998
29,risk_loving,0.2709181355902676,0.7976719511855107,3139.2658012985926,0.9
30,risk_neutral,0.9380743588344984,0.42990508232435864,4201.370250779394,0.8999999999999998
30,risk_averse,0.9499999999999998,0.42528319108227414,5902.663450376638,0.8999999999999998
30,risk_loving,0.2850318141182972,0.7889037347279168,3166.296452063182,0.9
31,risk_neutral,0.9421681308446062,0.4283214002846509,4140.4561922708535,0.8999999999999998
31,risk_averse,0.9499999999999998,0.42528319108227414,5903.440267600071,0.8999999999999998
31,risk_loving,0.29285925787736994,0.7822385285133654,3139.7275507340305,0.9
32,risk_neutral,0.9429008741683951,0.42802942259445975,4196.514724751645,0.8999999999999998
32,risk_averse,0.9499999999999998,0.42528319108227414,5900.242791087528,0.8999999999999998
32,risk_loving,0.25851792894288017,0.8077024622948658,3128.1009281875126,0.9
33,risk_neutral,0.9435085715573089,0.42779251857855183,4100.487215703423,0.8999999999999998
33,risk_averse,0.9499999999999998,0.42528319108227414,5949.052654127916,0.8999999999999998
33,risk_loving,0.2567219153205614,0.8065642893680667,3111.302028481697,0.9
34,risk_neutral,0.9349764725232902,0.431106723326225,4075.298870177014,0.8999999999999998
34,risk_averse,0.9499999999999998,0.42528319108227414,5878.485213818861,0.8999999999999998
34,risk_loving,0.23355269748173282,0.820564407093828,3142.806166868657,0.9
35,risk_neutral,0.9391959641191768,0.4294953850286796,4147.832832570924,0.8999999999999998
35,risk_averse,0.9499999999999998,0.42528319108227414,5919.312258001247,0.8999999999999998
35,risk_loving,0.23748624512680336,0.8198166481358455,3127.7465127972055,0.9
36,risk_neutral,0.9349094506781513,0.4311609209497222,4220.52699292873,0.8999999999999998
36,risk_averse,0.9499999999999998,0.42528319108227414,5898.691805320846,0.8999999999999998
36,risk_loving,0.1893680042171048,0.8519528190494989,3081.5737871636607,0.8999759998481452
37,risk_neutral,0.9453458177399554,0.42709068706343245,4169.614525295017,0.8999999999999998
37,risk_averse,0.9499999999999998,0.42528319108227414,5934.520541034953,0.8999999999999998
37,risk_loving,0.1822878748523773,0.8567136274350658,3069.598112978403,0.8998933141836517
38,risk_neutral,0.943118098613002,0.4279494202171403,4145.284237722239,0.8999999999999998
38,risk_averse,0.9499999999999998,0.42528319108227414,5952.676762494002,0.8999999999999998
38,risk_loving,0.23734472664290512,0.8182147472983056,3125.236605398852,0.8998761691487135
