time_step,mean_alpha,mean_contamination,mean_cost
0,0.7142172720674488,0.6969728934903298,3884.915682464782
1,0.763150084591875,0.6666768379536441,3914.5147254524322
2,0.7746633267144469,0.6497407497211859,3935.463937589199
3,0.7680438759999162,0.6402768168316884,3960.105389496357
4,0.762344293933907,0.6322337886119401,3970.9233107055597
5,0.7658440050873874,0.623029791718971,3991.389615614771
6,0.7670696508422463,0.6122895177181267,4020.2131059878393
7,0.7678839463126547,0.603184742753774,4059.0555726470416
8,0.7655480701204972,0.598826081760322,4032.8483123488195
9,0.7606430857120476,0.5944432279888265,4056.194590007517
10,0.7630738867389814,0.5886436378090392,4083.060507257718
11,0.7717281010895691,0.5807924372627002,4069.7833661655814
12,0.7620817992843572,0.5802412153977107,4070.0497345028944
13,0.7735557577643849,0.5682085526956951,4094.3960326335496
14,0.7675896995901031,0.5684996272947467,4122.557352317698
15,0.7666677209194002,0.565683194499316,4098.612799036507
16,0.7698759285118841,0.5612716930488468,4134.716837850946
17,0.7598708039795816,0.5675717475650602,4145.939042691977
18,0.7706500816061304,0.5588379526930657,4147.7534083039245
19,0.7723641999520485,0.5547822541462982,4168.412414574358
20,0.7693358414782258,0.5565587118032306,4139.696519500352
21,0.777997227548973,0.5486910346066564,4131.140157833353
22,0.7791378139587092,0.5458190949701841,4171.809708015943
23,0.7745247728265098,0.5496376744366408,4152.069490126367
24,0.7765657084823332,0.5466191079494382,4152.400246369153
25,0.7693676128305991,0.5493551161967356,4155.196111686837
26,0.7665645073877942,0.5505886456493994,4169.88600341945
27,0.773844655557451,0.5466020737030834,4156.2921304049805
28,0.7649786493547824,0.5512540591149951,4163.792270293287
29,0.7753730974134824,0.5447523160341705,4166.3008167444
30,0.7744739315537518,0.5433464496651096,4155.453981432543
31,0.7746112686147905,0.5432044419846171,4150.070460933741
32,0.7775774451835561,0.5405161266160344,4171.884658702093
33,0.7674012655200392,0.5463968708985246,4151.274477427239
34,0.7716239541216353,0.54334720134684,4160.071852042713
35,0.7692451843167238,0.5454586689983802,4168.969528243887
36,0.7720170973678752,0.5412914423403726,4161.062477424276
37,0.7733421302828597,0.541438707586979,4162.352086438323
38,0.7720248568499928,0.5423052799714854,4136.714777327115
39,0.7781957380737381,0.5370420812997997,4158.170106878056
40,0.7733449154167445,0.5407554733106877,4139.557451583433
41,0.7705016179358738,0.543038665866577,4152.921870197031
42,0.767931163936698,0.5438420012234821,4166.730380743001
43,0.7701463878750364,0.5405915654745005,4175.955220572928
44,0.7682786150925738,0.5418594980845834,4162.660015050691
45,0.7684970807034529,0.5415514512802428,4150.3919172329715
46,0.773434191825755,0.5369598766050393,4143.388495416677
47,0.7700051142543884,0.5416981127708742,4180.806074195395
48,0.7667075826959843,0.5440124613289913,4142.7886147304025
49,0.7666469901617758,0.5434764946881375,4184.475928520434
