time_step,mean_alpha,mean_contamination,mean_cost
0,0.7416888001155361,0.5564435777609138,4337.182372934657
1,0.7347744463207051,0.5493871486184235,4354.632226280948
2,0.7646150577685968,0.523937796976311,4419.387579694915
3,0.7696760433521339,0.5189867897144987,4403.42395528864
4,0.7689135688228201,0.5181070036433055,4429.875028787362
5,0.7624117694237934,0.521125057973498,4396.4675592115245
6,0.6902925564176867,0.5686008140407776,4378.479489067236
7,0.6783564448956192,0.5784257092400417,4363.20513574745
8,0.6699980425116655,0.5842682743773114,4378.748874924011
9,0.6657679382779174,0.5878377177771232,4379.65019671202
10,0.6672735617261358,0.5860981753685895,4404.3567654529525
11,0.663630397858833,0.5886391318828135,4414.192687226171
12,0.6621091843871395,0.5899746467195033,4372.45948188322
13,0.6539337872560164,0.591774631719372,4371.151841894261
14,0.6528080513530412,0.5936816877752105,4357.722266770275
15,0.6631494160062844,0.5880668068618505,4354.624134049369
16,0.6698562083060932,0.5839252901177534,4389.81636021372
17,0.6664502417521119,0.5865796666724652,4388.059253412693
18,0.6677929739356707,0.5856505792332698,4387.705116946511
19,0.6744777937159714,0.5808701577951262,4384.081633460289
20,0.6817633603414923,0.5751953731325143,4395.981169451613
21,0.6879306466352143,0.5708766545283236,4401.54708181671
22,0.656949860040247,0.5915539878279313,4396.64729781729
23,0.6685931393888445,0.5846128191319302,4362.730178761265
24,0.6692161017569924,0.5833403096338894,4369.661191377963
25,0.6583735144999594,0.5924101177467777,4384.454597313933
26,0.6556068440260742,0.5948571314263004,4376.921691946254
27,0.660237955912921,0.5909663068013812,4372.364143150623
28,0.6647897035114377,0.5875405377811843,4373.760394560344
29,0.6623275400288157,0.5893586686840478,4361.117479084639
30,0.6575271338915648,0.5931736376209783,4391.438925251334
31,0.6619778147717102,0.5898988675045936,4381.717901490791
32,0.6561504542538696,0.5943786287272271,4373.029555404529
33,0.6627774301359355,0.5894283652323853,4367.330004395536
34,0.6648675351167921,0.5877292730124652,4352.072669956599
35,0.6764975912817215,0.5784686447294858,4371.152505627134
36,0.6637817888188348,0.5884436855814257,4393.095200518999
37,0.6557956376788714,0.5936635984297021,4365.700686107834
38,0.6627270409877695,0.5898059564170293,4360.901376753439
39,0.6699009703097891,0.5835085576026887,4384.153244342675
40,0.6660715333790919,0.5866446493371611,4413.071300951276
41,0.6645844797915846,0.5878436204746608,4377.390210693404
42,0.6647336732942013,0.5880317244856638,4394.11659070145
43,0.662379318341669,0.5898027920860721,4393.732101295337
44,0.6598741347478426,0.5912828675423285,4379.873839549881
45,0.665464026072197,0.5870832509310986,4360.050066014317
46,0.6559520463912771,0.5915372999112596,4414.411144167248
47,0.6674013423979608,0.5862458008366676,4369.541489244515
48,0.6700720176762462,0.5843307755010677,4371.907583208548
49,0.6705502053854595,0.5839152238041161,4396.221799171851
