time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
0,risk_neutral,0.9412056529246181,0.43059084583355617,4149.3622613925645,0.895618414043823
0,risk_averse,0.9497187531492624,0.42590258854337987,5945.153442704977,0.8987589301644565
0,risk_loving,0.34612866503281037,0.8052963071074256,2958.8005605366743,0.6188966996864544
1,risk_neutral,0.937731071861018,0.43006170391530096,4113.5257438840945,0.9
1,risk_averse,0.95,0.42528319108227414,5947.125852003938,0.9
1,risk_loving,0.3288917429604978,0.7856568625565409,3042.9917636408736,0.7227413665710117
2,risk_neutral,0.9391611432557929,0.42948965486348084,4135.892501510697,0.9
2,risk_averse,0.95,0.42528319108227414,5976.5287835883655,0.9
2,risk_loving,0.4152702367476038,0.711361052394741,3183.2016341535987,0.8290449502143896
3,risk_neutral,0.9396787747610624,0.4292844611869524,4116.037272156807,0.9
3,risk_averse,0.95,0.42528319108227414,5926.448767119393,0.9
3,risk_loving,0.42965308141465663,0.6969984248989822,3204.1281244926304,0.8500826371189197
4,risk_neutral,0.9413053675932704,0.4286576503620473,4153.514856725334,0.9
4,risk_averse,0.95,0.42528319108227414,5945.296793828673,0.9
4,risk_loving,0.42583175740306106,0.6950191940196453,3227.256423836883,0.8664923558393367
5,risk_neutral,0.939756026185584,0.42926380000040887,4084.945598753004,0.9
5,risk_averse,0.95,0.42528319108227414,5957.256330386139,0.9
5,risk_loving,0.40821259053691333,0.7033075026947426,3183.943889987081,0.87439925880224
6,risk_neutral,0.9380476562340841,0.4299436428423453,4136.475112266808,0.9
6,risk_averse,0.9462831045054051,0.42673971651818193,5986.860825432408,0.9
6,risk_loving,0.20136295698133924,0.8408685454464809,3052.2900871367447,0.8759714744813702
7,risk_neutral,0.9395113901191665,0.4293433608810039,4123.739189641131,0.9
7,risk_averse,0.9497619358535909,0.42537463418767635,5945.715032422015,0.9
7,risk_loving,0.16145955095473286,0.8716728554922859,3059.6624778429764,0.8790368242677741
8,risk_neutral,0.9401336009453309,0.4291174851637602,4159.1775145336005,0.9
