time_step,mean_alpha,mean_contamination,mean_cost
0,0.5660537210736855,0.7456648421125679,3786.1158338285295
1,0.5918621362445772,0.7249497839180697,3777.1837507951986
2,0.6184807736737468,0.7077398127630873,3839.0294916563994
3,0.5969449650278542,0.7083844326919574,3818.6670014260326
4,0.6017962461953986,0.6971069892596858,3889.858407529134
5,0.6052567886950357,0.6871968188861702,3897.771237525143
6,0.594643062767775,0.6854354104958228,3916.4204435865545
7,0.5970941150749628,0.6779539973473988,3933.3926075550416
8,0.6044498736857836,0.6683596489462735,3931.311943528191
9,0.5859970024935074,0.6752348093400671,3960.320173785843
10,0.5911932091444909,0.669782911778657,3980.082731756144
11,0.6104853294983842,0.6551325006571922,4005.437706336977
12,0.5928734656512735,0.6626631153381262,3988.3265317144137
13,0.6012052466080867,0.6549334821979016,4024.341971047443
14,0.6221660275513317,0.6411668300763969,4012.753669588005
15,0.5955514869995734,0.6546270673495498,3975.6201495817595
16,0.6143497399502196,0.6390388739699201,4015.6672498356215
17,0.6096353198401695,0.641303249725164,4079.8489708606653
18,0.6075572603959729,0.6403645759476682,4004.4139640000303
19,0.6128220509669599,0.635638427684689,4043.6766069817113
