time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
36,risk_neutral,0.9254272549927043,0.4539627534423147,4155.190020052093,0.8544963067737209
36,risk_averse,0.9324115704253527,0.459733768330206,5777.091234230648,0.8345732439870672
36,risk_loving,0.14600918425807458,0.8794434740744037,2713.1816739366104,0.8989044437240332
37,risk_neutral,0.9222140005193108,0.4523589741689076,4123.567921063537,0.8610595178091571
37,risk_averse,0.9375634394940079,0.45777020675967944,5793.780132946557,0.8345005390246972
37,risk_loving,0.13915010811560352,0.8861819593386446,2694.493302616923,0.8990776768178087
38,risk_neutral,0.9248767255823251,0.45264333056205786,4047.380467755491,0.8576145429277864
38,risk_averse,0.9382062148980702,0.4571381754256193,5781.081158102116,0.8352400420266367
38,risk_loving,0.12921842483219823,0.892565513473469,2687.488688092582,0.8999999999999998
39,risk_neutral,0.9371317117492396,0.44494137877522555,4048.4775700634746,0.8645995968834953
39,risk_averse,0.9369489769717746,0.45668473479155003,5792.169140628056,0.8375102618726411
39,risk_loving,0.1461329887981155,0.8802426900004361,2759.390747249549,0.8993187909145368
40,risk_neutral,0.9294656197633289,0.44865912554714027,4087.2622436655897,0.862801517326457
40,risk_averse,0.9381616811547279,0.45639876915470884,5767.572665518908,0.8370855670926207
40,risk_loving,0.1420998967067903,0.883555306048026,2712.0061602458845,0.8970688915640874
41,risk_neutral,0.9294581917537317,0.4495792196717464,4089.7305822824237,0.860738829370527
41,risk_averse,0.936712609087527,0.45714495759904933,5787.537246569915,0.836655828936175
41,risk_loving,0.12349209661557059,0.8984049941326921,2701.199506349704,0.8984085870142653
42,risk_neutral,0.929573861599463,0.45030499416421454,4102.768890662734,0.8593764958586684
42,risk_averse,0.9352026339897843,0.4565367896246715,5812.616765836351,0.8394925304487862
42,risk_loving,0.1252485043880783,0.8967990172662417,2688.128532291913,0.8975280846882538
43,risk_neutral,0.9226923264599307,0.45050574549015965,4083.1829315943132,0.8649006788925497
43,risk_averse,0.9347978115325277,0.455945407046025,5810.13866696791,0.841122148701924
43,risk_loving,0.13448360333139545,0.8898282831479394,2761.4162900006822,0.897394862432157
44,risk_neutral,0.9287529861081106,0.4501726057827633,4138.786576374078,0.8601454792778334
44,risk_averse,0.9335180092351829,0.45612610333283254,5792.282718368753,0.8421195355507863
44,risk_loving,0.13464966688098462,0.8876736619808614,2691.639170621622,0.8994546168671522
45,risk_neutral,0.919363149590979,0.4536319256037286,4074.551674957602,0.8609155759093612
45,risk_averse,0.9368641420210256,0.45285929544320574,5803.8170790420945,0.8465580816080396
45,risk_loving,0.1291784624081915,0.8929530111526862,2667.4724395019475,0.8963610058796236
46,risk_neutral,0.927905011646937,0.45091394213414376,4053.5842865160266,0.8590974595807811
46,risk_averse,0.9361069976841655,0.4506948070137455,5791.149938920322,0.8522459911646797
46,risk_loving,0.14831073224046376,0.8786340104768098,2696.180236267664,0.8984293448976158
47,risk_neutral,0.9284654743725236,0.45157024471231083,4143.341370833617,0.8571612585225268
47,risk_averse,0.9405474118225093,0.44993199592939714,5811.486543438734,0.8500082565470851
47,risk_loving,0.1114254035373724,0.906814259460794,2710.3370276780033,0.89949233731516
48,risk_neutral,0.9321166226991032,0.4500280822541917,4111.718902295106,0.8573213258988964
48,risk_averse,0.9374411732375226,0.45229894971378654,5786.155437726285,0.847111619775535
48,risk_loving,0.09847647976018374,0.9180584997436613,2637.404040027729,0.8993416333221964
49,risk_neutral,0.9360418481230106,0.4471903827207903,4153.453578512002,0.8604394621929641
49,risk_averse,0.935178187112917,0.45368257882287033,5821.195040054257,0.845846174207528
49,risk_loving,0.11749823289650943,0.901814606212495,2703.0688488786213,0.8999764681783505
