time_step,mean_alpha,mean_contamination,mean_cost
0,0.6079123827177655,0.73888299110094,3895.7032122021274
1,0.6199175219246837,0.7233676123074176,3911.515948315045
2,0.6232598623308611,0.7108512913459765,3945.104612296489
3,0.6229431970543106,0.7052233061568052,3929.1224202298054
4,0.6326563431780403,0.6935662061957131,3960.4149963120913
5,0.6215590829581642,0.6885201330038867,3987.0902642458414
6,0.6200252779406209,0.682085783796424,4007.694199869778
7,0.6166764054437626,0.6781089719307343,4030.68494326751
8,0.6186832835656372,0.6700564869659336,4060.341731338556
9,0.6315888798791622,0.6568723597256644,4087.765449206768
10,0.6267424454491162,0.6566581514838714,4066.232475054463
11,0.622647534828457,0.654676260325568,4077.078154481561
12,0.6285384085793323,0.647274360864611,4099.624083665005
13,0.6336382230386316,0.6415326955353389,4153.059319312435
14,0.6272756734476906,0.6424625233571352,4124.023430099669
15,0.6336362203591946,0.6366596294803849,4158.550344784782
16,0.6354727494623765,0.6328443509384811,4146.572745178182
17,0.6420425024002685,0.6252562070666976,4156.858224242231
18,0.6437002661680633,0.6245399380497353,4186.045801277651
19,0.643762436006557,0.6229500436343672,4150.773350060111
20,0.6500414901806785,0.6165507291502473,4157.00342716316
21,0.6358765772553919,0.6270261841690036,4162.146157759186
22,0.6471069544466634,0.618823626384142,4186.6823966980055
23,0.6354033991478911,0.6253620661034025,4194.349860034696
24,0.6415568599930026,0.6227214624755651,4180.982906695647
25,0.6377116785207682,0.6242138865255685,4156.796971372177
26,0.6340738029600999,0.6247895159668203,4166.22711902613
27,0.6283866410438057,0.6287807025653185,4170.21398556477
28,0.627396541073604,0.6279044504786628,4175.127820932608
29,0.6302091196661376,0.6258896330589622,4162.645290971887
30,0.6388325761110445,0.6198744311058605,4196.764494263768
31,0.6401428503667143,0.6176878593944474,4184.958886899974
32,0.6363911464606221,0.6201127997672979,4189.412105285222
33,0.6347200047802309,0.620126411338944,4158.595064025777
34,0.6364054180781756,0.6176760210739441,4175.658613378763
35,0.6305190441335717,0.6219488934022088,4193.242812515651
36,0.6303462291030905,0.6216175789048786,4182.104352646033
37,0.6330736386023497,0.6208478341407495,4200.397866194913
38,0.6475217497827512,0.6109018788990977,4184.666240064244
39,0.649677867296098,0.6076500371275148,4212.0257733476465
40,0.6410693350631941,0.6123755970442708,4192.044689670887
41,0.6390069481727026,0.6154247713583963,4190.235564778948
42,0.6322449082980162,0.6215844066614521,4179.207659416133
43,0.6270967019907403,0.6212834235395363,4180.269659757522
44,0.6460321197144941,0.6096129263151236,4197.162009221148
45,0.6286322258732759,0.6212224755205735,4182.633123538262
46,0.6358028413870168,0.617494011537746,4195.3762953079295
47,0.632746118668022,0.6219931173551186,4157.75131530595
48,0.6341729792329771,0.6175024923570934,4207.01604883747
49,0.6380196934481684,0.6145293416325294,4161.506965538692
