time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
0,risk_neutral,0.9427180366410872,0.4281030814522073,4156.592520980075,0.9
0,risk_averse,0.9500000000000001,0.4252831910822742,5839.97969773821,0.9
0,risk_loving,0.4087903246477757,0.7365656937036588,3161.6130561740865,0.7370712353710773
1,risk_neutral,0.9407251423272037,0.4288862745906045,4143.0289560058945,0.9
1,risk_averse,0.9500000000000001,0.4252831910822742,5826.619657572443,0.9
1,risk_loving,0.4542628088956925,0.6893733483348219,3226.8801024747445,0.8163814590699723
2,risk_neutral,0.940436905406465,0.4289827933369571,4123.546514739176,0.9
2,risk_averse,0.9500000000000001,0.4252831910822742,5850.000744395615,0.9
2,risk_loving,0.4266312048544929,0.6973706910988058,3273.9154412954003,0.8433422543270599
3,risk_neutral,0.9385305997022984,0.429740701444027,4153.467970857821,0.9
3,risk_averse,0.9500000000000001,0.4252831910822742,5830.083087372367,0.9
3,risk_loving,0.4846517603321669,0.6592143913062695,3316.785971980491,0.8648591458079644
4,risk_neutral,0.9409720773457386,0.4287827674647069,4156.591542502858,0.9
4,risk_averse,0.9500000000000001,0.4252831910822742,5827.596338789115,0.9
4,risk_loving,0.5134480736000291,0.6409865296929034,3287.689218488248,0.8727653586729347
5,risk_neutral,0.9418176067314679,0.42845993755688194,4172.016681099846,0.9
5,risk_averse,0.9500000000000001,0.4252831910822742,5847.513785815079,0.9
5,risk_loving,0.49132780119190367,0.6518777678101502,3300.4589912224956,0.8812058694379634
6,risk_neutral,0.9387164044547069,0.4296875021388469,4185.782548570186,0.9
6,risk_averse,0.9500000000000001,0.4252831910822742,5813.841407982162,0.9
6,risk_loving,0.21689387942907798,0.8300460646946861,3166.3702198532264,0.8838076503424113
7,risk_neutral,0.9410725164067837,0.42875067467788647,4169.3208251863925,0.9
7,risk_averse,0.9500000000000001,0.4252831910822742,5833.301846253582,0.9
7,risk_loving,0.19286244748891088,0.8469990023451612,3145.049242530307,0.8867320522723309
8,risk_neutral,0.9386529082769368,0.42969104610350284,4114.297903752622,0.9
8,risk_averse,0.9478794498174673,0.42610965516535826,5847.9404108322005,0.9
8,risk_loving,0.1446264943950875,0.8825932585691127,3099.4663486881714,0.8900351471095023
9,risk_neutral,0.9413633393656953,0.4286468387621857,4144.79335265034,0.9
9,risk_averse,0.9473520353616897,0.42632395820310237,5832.786883608074,0.9
9,risk_loving,0.13534261868608433,0.8883661591185639,3116.8812188292245,0.8908731670591343
10,risk_neutral,0.9423090535785729,0.4282624269622462,4161.428271694187,0.9
10,risk_averse,0.9500000000000001,0.4252831910822742,5847.3634465075875,0.9
10,risk_loving,0.12694370104793612,0.8951419176352637,3136.3942206765764,0.8926088069671264
11,risk_neutral,0.9406532714974395,0.4289071837742831,4170.980597249313,0.9
11,risk_averse,0.9500000000000001,0.4252831910822742,5835.2388723050335,0.9
11,risk_loving,0.12959579655508538,0.8932461793878144,3112.377386733927,0.8930835994610812
12,risk_neutral,0.9446675260179183,0.427341721734207,4121.320608651139,0.9
