time_step,mean_alpha,mean_contamination,mean_cost
0,0.7933411992362588,0.5322538923602097,7847.076452715763
1,0.817100507424589,0.5054115771683351,7884.58077228223
2,0.8490395757003859,0.4788204926493716,7939.984448714848
3,0.8492819473208512,0.4755970672326958,7939.501510073684
4,0.8525578860452226,0.4721733136972766,7968.563398783271
5,0.842059053087556,0.47746843473859896,7918.314743612066
6,0.7534311215687439,0.5223477920254294,7905.674835690325
7,0.7423534236494896,0.5305206831409419,7894.74823337855
8,0.7401992825007051,0.5333227273870665,7888.674947131335
9,0.7529679403942906,0.5262372559888803,7909.509532233146
10,0.7445364715162255,0.5317310015413813,7910.805481656812
11,0.7332929348007575,0.536701664207203,7909.103212439451
12,0.7185213622875191,0.5445692399812256,7919.819507676151
13,0.7098940992132498,0.550651796801068,7890.552504902939
14,0.7153867594338724,0.547484769709852,7932.024012438314
15,0.7351126671288006,0.5362604553197091,7898.59107944119
16,0.7466543283017205,0.5294266788423062,7898.180758740494
17,0.753489292765285,0.5248805480826363,7915.938231346843
18,0.7351251924331248,0.5347577519886321,7923.729755744254
19,0.7387430448068737,0.5347701705521019,7892.146104857908
20,0.7471570958225677,0.5295744287219221,7886.768535993583
21,0.7376081981326954,0.5357635275090318,7889.762482306397
22,0.7429552436072501,0.5331732528567393,7930.918508299646
23,0.7520757156148082,0.5270996631514556,7918.232929235398
24,0.7575516056300222,0.5236944275690741,7872.239492456588
25,0.7538744431106701,0.5248297510574536,7942.1735382155
26,0.7659622409919332,0.517589050472778,7921.075119863432
27,0.7430757400671688,0.532166377412133,7907.653985895915
28,0.7447482342643214,0.5301810715996795,7905.242794338132
29,0.7496329496116388,0.5274512871504567,7907.309597648569
30,0.7615063163631939,0.5198637839115978,7939.772446364443
31,0.7526922244424052,0.5254817045760443,7917.525110108095
32,0.7409186551468939,0.5323241684978766,7902.705615483574
33,0.745075475922804,0.5309871340547524,7914.0492269942515
34,0.7531348050409449,0.5255300185074154,7904.261057191658
35,0.7410046100119964,0.5322189084947535,7881.121640144794
36,0.7352842395160627,0.5351474041768293,7904.696591064155
37,0.7267986376329502,0.5395465805202552,7892.866538209841
38,0.7381868363451626,0.5324744034751935,7921.07262640661
39,0.7503288254602571,0.5265497080880079,7904.79198976435
40,0.7565078638067843,0.5229345732970851,7875.773291081878
41,0.7326197573782816,0.5376922533643999,7917.639695672203
42,0.7583112263661175,0.5228911298351658,7920.466404745093
43,0.7591714156584847,0.5221074894218379,7901.4422503050855
44,0.7527020824588597,0.5263822351448855,7913.116064918751
45,0.7505676463861183,0.5272265135921118,7910.362227703421
46,0.7409294502237432,0.5342641768885537,7915.810551172678
47,0.7481098797307354,0.5291555980989514,7888.940440417911
48,0.7606150164168465,0.5221934527731122,7917.907039908413
49,0.7531794320222367,0.5253441590711302,7926.318704763436
